iter	RMSE
891	294791.5119
892	294571.0623
893	294500.2097
894	294405.7976
895	294316.4128
896	294187.5937
897	294113.3973
898	294048.9001
899	293963.0578
900	293891.2235
901	293764.8852
902	293620.7244
903	293465.6826
904	293458.0431
905	293450.7204
906	293361.5381
907	293288.8341
908	293086.1506
909	293067.1419
910	293018.0716
911	292983.0194
912	292949.3003
913	292942.7823
914	292843.6633
915	292746.9348
916	292680.0302
917	292598.0992
918	292378.4273
919	292369.8716
920	292361.5682
921	292353.5095
922	292340.0276
923	292207.7761
924	292007.9742
925	291936.7722
926	291930.6673
927	291866.779
928	291849.0333
929	291813.7268
930	291797.4832
931	291791.8857
932	291730.5348
933	291686.5115
934	291631.1787
935	291596.9489
936	291295.0914
937	291219.8759
938	291213.7867
939	291146.667
940	290940.8142
941	290828.2413
942	290734.5897
943	290555.6285
944	290431.6976
945	290400.7202
946	290370.9265
947	290187.1999
948	290099.2583
949	290070.5364
950	290030.0866
951	289946.9865
952	289882.8489
953	289765.0891
954	289623.6256
955	289555.3583
956	289510.5199
957	289459.8351
958	289429.3264
959	289341.6071
960	289241.3271
961	289169.8812
962	289102.1685
963	289080.9829
964	288983.828
965	288923.5831
966	288818.4998
967	288707.3911
968	288633.5049
969	288520.7848
970	288490.3287
971	288428.6336
972	288361.511
973	288277.2007
974	288262.3643
975	288198.2531
976	288110.3417
977	288083.1602
978	288022.1715
979	288014.9469
980	287960.1703
981	287912.6688
982	287867.0755
983	287787.9096
984	287731.4386
985	287596.3927
986	287569.9274
987	287526.5992
988	287521.9371
989	287517.517
990	287512.5106
991	287484.7448
992	287450.414
993	287443.614
994	287418.6323
995	287376.4792
996	287320.1821
997	287315.2637
998	287196.6222
999	287118.595
